Ticker,Sector
MSFT,technology
AAPL,technology
NVDA,technology
TSM,technology
AVGO,technology
ASML,technology
ORCL,technology
CRM,technology
AMD,technology
SAP,technology
JPM,financials
V,financials
MA,financials
BAC,financials
WFC,financials
AXP,financials
HSBC,financials
BX,financials
LLY,healthcare
NVO,healthcare
UNH,healthcare
JNJ,healthcare
MRK,healthcare
ABBV,healthcare
AZN,healthcare
TMO,healthcare
NVS,healthcare
DHR,healthcare
AMZN,consumer-discretionary
TSLA,consumer-discretionary
HD,consumer-discretionary
TM,consumer-discretionary
MCD,consumer-discretionary
BABA,consumer-discretionary
PDD,consumer-discretionary
NKE,consumer-discretionary
LOW,consumer-discretionary
BKNG,consumer-discretionary
CAT,industrials
GE,industrials
UNP,industrials
HON,industrials
UPS,industrials
ETN,industrials
LMT,industrials
DE,industrials
BA,industrials
GOOGL,communication-services
FB,communication-services
NFLX,communication-services
DIS,communication-services
TMUS,communication-services
VZ,communication-services
CMCSA,communication-services
T,communication-services
SPOT,communication-services
NTES,communication-services
WMT,consumer-staples
PG,consumer-staples
COST,consumer-staples
KO,consumer-staples
PEP,consumer-staples
PM,consumer-staples
BUD,consumer-staples
UL,consumer-staples
MDLZ,consumer-staples
DEO,consumer-staples
XOM,energy
CVX,energy
COP,energy
BP,energy
PBR,energy
EQNR,energy
LIN,materials
BHP,materials
RIO,materials
SCCO,materials
SHW,materials
FCX,materials
ECL,materials
CRH,materials
VALE,materials
APD,materials
PLD,real-estate
AMT,real-estate
EQIX,real-estate
WELL,real-estate
SPG,real-estate
PSA,real-estate
O,real-estate
DLR,real-estate
CCI,real-estate
CSGP,real-estate
NEE,utilities
SO,utilities
DUK,utilities
NGG,utilities
SRE,utilities
AEP,utilities
D,utilities
EXC,utilities
